timestamp_utc,phase,target_agents,server_agents,server_connected_agents,server_connections,server_limited_metadata,server_heap_alloc_bytes,server_runtime_sys_bytes,server_goroutines,client_connected_callbacks,client_connect_failed,client_errors,client_remote_configs
"2026-06-19T00:15:31Z","before","100",3,3,3,2,796392,8345864,9,"","","",""
"2026-06-19T00:15:39Z","during","100",103,103,103,2,2666640,13408520,109,"","","",""
"2026-06-19T00:20:37Z","after","100",103,3,3,2,911904,17668360,8,100,0,0,0
"2026-06-19T00:20:48Z","before","250",103,3,3,2,917976,17668360,8,"","","",""
"2026-06-19T00:21:00Z","during","250",253,253,253,2,4876864,17930504,258,"","","",""
"2026-06-19T00:25:58Z","after","250",253,3,3,2,5031792,22124808,8,250,0,0,0
"2026-06-19T00:26:09Z","before","500",253,3,3,2,6524888,22124808,8,"","","",""
"2026-06-19T00:26:26Z","during","500",503,503,503,2,9361376,26581256,508,"","","",""
"2026-06-19T00:31:24Z","after","500",503,3,3,2,11494608,30775560,8,500,0,0,0
"2026-06-19T00:31:35Z","before","1000",503,3,3,2,11511232,30775560,8,"","","",""
"2026-06-19T00:32:02Z","during","1000",1003,1003,1003,2,19320144,43882760,1008,"","","",""
"2026-06-19T00:37:00Z","after","1000",1003,3,3,2,3814624,48077064,8,1000,0,0,0
"2026-06-19T00:37:11Z","before","2000",1003,3,3,2,5372056,48077064,8,"","","",""
"2026-06-19T00:37:58Z","during","2000",2003,2003,2003,2,39945216,78293272,2008,"","","",""
"2026-06-19T00:42:57Z","after","2000",2003,3,3,2,44715392,86681880,8,2000,0,0,0
"2026-06-19T00:43:08Z","before","5000",2003,3,3,2,8531336,86681880,8,"","","",""
"2026-06-19T00:44:55Z","during","5000",5003,5003,5003,2,82513000,190724392,5008,"","","",""
"2026-06-19T00:49:57Z","after","5000",5003,3,3,2,15866640,194918696,8,5000,0,0,0
